POSTCODE,SUBURB,STATE,PO BOX,COUNTRY,LONG,LAT
822,MARRAKAI,NT,0,AU,131.4810022,-12.69349624
822,MCMINNS LAGOON,NT,0,AU,131.0740505,-12.54252335
822,MICKETT CREEK,NT,0,AU,130.951697,-12.379529
822,MIDDLE POINT,NT,0,AU,131.3295989,-12.59444063
822,MILIKAPITI,NT,0,AU,130.6586037,-11.41641612
822,MILINGIMBI,NT,0,AU,134.9172943,-12.10344037
822,MILYAKBURRA,NT,0,AU,136.202001,-13.77934879
822,MINJILANG,NT,0,AU,132.5724813,-11.14470594
822,MOUNT BUNDEY,NT,0,AU,131.751956,-13.02955913
822,MURRUMUJUK,NT,0,AU,131.0779057,-12.29096291
822,NAUIYU,NT,0,AU,130.7310542,-13.72157548
822,NEMARLUK,NT,0,AU,130.4543865,-14.62289167
822,NGANMARRIYANGA,NT,0,AU,129.8834932,-14.33497868
822,NUMBULWAR,NT,0,AU,135.727696,-14.28113146
822,NUMBURINDI,NT,0,AU,135.7946389,-13.95994028
822,OENPELLI,NT,0,AU,133.05,-12.3166667
822,PEPPIMENARTI,NT,0,AU,130.082796,-14.1456977
822,PIRLANGIMPI,NT,0,AU,130.4214678,-11.39026066
822,POINT STEPHENS,NT,0,AU,133.884318,-23.721252
822,POINT STUART,NT,0,AU,131.8321645,-12.54034189
822,PULARUMPI,NT,0,AU,130.4236161,-11.4058343
822,RAKULA,NT,0,AU,130.3707089,-13.05159634
822,RAMINGINING,NT,0,AU,134.9259152,-12.32899612
822,ROBIN FALLS,NT,0,AU,131.1214742,-13.38650542
822,RUM JUNGLE,NT,0,AU,131.0198663,-12.99988524
822,SANDPALMS ROADHOUSE,NT,0,AU,133.3848319,-12.9305044
822,SOUTHPORT,NT,0,AU,130.9528216,-12.73033252
822,STAPLETON,NT,0,AU,131.0258358,-13.18414806
822,THAMARRURR,NT,0,AU,129.6399677,-14.20132457
822,TIPPERARY,NT,0,AU,130.619275,-14.03882235
822,TIVENDALE,NT,0,AU,130.9502272,-12.46528731
822,TIWI ISLANDS,NT,0,AU,131.1875059,-11.51399925
822,TORTILLA FLATS,NT,0,AU,131.1778852,-13.08686447
822,TUMBLING WATERS,NT,0,AU,130.9609622,-12.75687265
822,UMBAKUMBA,NT,0,AU,136.8071615,-13.86174726
822,VERNON ISLANDS,NT,0,AU,131.0936969,-12.05953061
822,WADEYE,NT,0,AU,129.5163287,-14.2441117
822,WAGAIT BEACH,NT,0,AU,130.7459083,-12.43399126
822,WAK WAK,NT,0,AU,131.236971,-12.66325075
822,WARRUWI,NT,0,AU,133.3782542,-11.65786276
822,WEDDELL,NT,0,AU,131.0081807,-12.62670951
822,WEST ARNHEM,NT,0,AU,133.6471255,-12.25508592
822,WICKHAM,NT,0,AU,130.9100115,-12.54731927
822,WINNELLIE,NT,0,AU,130.879379,-12.430434
822,WISHART,NT,0,AU,130.9321025,-12.45712713
822,WOOLANING,NT,0,AU,130.659394,-13.093498
